2013,2012,2011,2010,2009
信息密度非均匀下的异构无线组网新技术,光电交叉联动与跨层灵活疏导的光传送技术及设备,融合业务支撑环境关键技术与应用,基于智能通道组织和共享保护方法的光层联网技术与应用,移动通信增值业务网络智能化技术及应用（原名称：业务网络智能化技术及应用）
城市室内外无缝高精度定位导航关键技术与应用,TD-SCDMA关键工程技术研究及产业化应用,自适应无线传输和组网新技术,TD-SCDMA及其增强型终端一致性测试技术与平台,基于智能通道组织和共享保护方法的光层联网技术与应用
移动通信信息服务中大数据挖掘与支撑关键技术及应用,异构无线网络的协同通信技术,光电融合交叉节点与大容量光传送平台的关键技术及应用,基于异构网络融合的多媒体技术研究与应用,开放式综合业务支撑环境关键技术
基于光纤传感技术的输电线路无源在线监测系统,超宽带微波光子信号处理与链路的基础研究,网络管理建模、分析与评价技术系列国际标准及应用,网络教育关键技术及示范工程,网络教育关键技术及示范工程
一种性能指标值正常波动范围的动态确定方法及其装置,面向多业务的广覆盖光纤无线融合无源光网络基础理论,多天线正交频分复用无线通信系统的理论研究,基于自主核心芯片的宽带光接入系统与规模应用,ITU-T E.412.1：2007?传送网资源中断对业务可用性影响的评价等3项标准
基于移动通信广播网络的高精度位置服务关键技术与应用,单信道超高速光传输及信号处理技术与理论,面向无线城市信息应用的融合业务平台,现代服务业共性服务平台关键技术与应用,TD-SCDMA及其增强型终端一致性测试技术与平台
宽带移动通信频谱高效利用技术创新与应用研究,传媒业务协同处理关键技术及应用,多模多目标智能识别与跟踪系统,量子保密通信协议理论研究,基于异构网络融合的多媒体技术
面向多体制多频共存移动通信系统的终端共形天线技术、标准和应用,单体双频微波理论与器件,大容量多粒度光传送技术创新与系统应用,面向突发业务的新型超高速光子交换模式的基础理论,量子保密通信协议理论及其模拟技术
适用于云计算环境下的高性能网络流量异常监控系统 ,基于云-端计算的手机安全服务平台,信息化与工业化融合评价指标体系的研究,区域经济理论新探与中国西部大开发,网络管理通用接口国际和行业标准及其应用
路由器及其测试平台的关键技术和应用,城域以太网可靠性关键技术研究和创新,,中国证券投资基金评价研究,宽带、多天线系统的电波测量、建模研究和国际标准
《移动用户个人信息管理业务总体技术要求》等10项行业标准,,,融合业务支撑环境技术,现代服务业共性服务平台
卫星/WiFi/INS/图像等多模融合高精度全空间定位技术,,,面向运营支撑的网络与业务质量保障关键技术及应用,多波段和宽带终端天线及产业化
星地一体室内外无缝位置服务平台与应用,,,《网络管理接口通用信息模型与公共交互机制》等4项国际标准,基于同轴电缆的智能宽带通信系统
神经元及其网络系统的放电活动、节律和集群行为的动力学研究,,,,人工智能统一理论
,,,,无源光接入系统核心芯片和设备的关键技术与应用
,,,,无线通信基站雷电入侵通道隔离防护技术
,,,,基于CNGI的政府地理信息系统应用示范
,,,,山西移动信息广场科普展馆
